"confidence","candidate_score","issue","source","source_line","original_target","suggested_target","resolved_target","requested_anchor","target_file","link_text","candidate_anchor","candidate_label","candidate_type","candidate_line","anchor_count","reasons","second_candidate","second_score"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","137","cmdb-sa-ham-dashboard-indicators.md#ci-missing-model-name","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-model-name","ci-missing-model-name","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing model name","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","138","cmdb-sa-ham-dashboard-indicators.md#ci-missing-model-number","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-model-number","ci-missing-model-number","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing model number","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","139","cmdb-sa-ham-dashboard-indicators.md#ci-missing-manufacturer","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-manufacturer","ci-missing-manufacturer","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing manufacturer","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","140","cmdb-sa-ham-dashboard-indicators.md#ci-missing-model-id","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-model-id","ci-missing-model-id","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing model ID","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","141","cmdb-sa-ham-dashboard-indicators.md#ci-missing-assigned-to","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-assigned-to","ci-missing-assigned-to","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing assigned to","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","142","cmdb-sa-ham-dashboard-indicators.md#ci-missing-location","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-location","ci-missing-location","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing location","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","143","cmdb-sa-ham-dashboard-indicators.md#ci-missing-owner","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-owner","ci-missing-owner","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing owner","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","144","cmdb-sa-ham-dashboard-indicators.md#ci-missing-managed-by-grp","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-managed-by-grp","ci-missing-managed-by-grp","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing managed by group","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","145","cmdb-sa-ham-dashboard-indicators.md#ci-missing-serial-number","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-serial-number","ci-missing-serial-number","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing serial number","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","175","cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-14","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-14","ci-not-updated-14","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs not updated in last 14 days","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
